char_name,ability_name,ability_id,main_target_hp_attacks,non_target_hp_attacks,hp_dmg_cap_up_perc,attribute_list,game_version,scrape_started_at_utc,scrape_ended_at_utc
reks,Shining Nova,19771,2,0,600,['Melee'],GL,2023-09-09 11:56:19,2023-09-09 14:05:34
reks,Mutual Improvement,19776,4,4,250,"['Group', 'Melee', 'Thunder', 'NoFree']",GL,2023-09-09 11:56:19,2023-09-09 14:05:34
reks,Enhanced Blade Combo (C),19783,4,4,0,"['Group', 'Melee', 'Instant', 'NoEX', 'NoFree']",GL,2023-09-09 11:56:19,2023-09-09 14:05:34
reks,Enhanced Wide Ruin (C),19785,4,4,0,"['Group', 'Melee', 'Thunder', 'Instant', 'NoEX', 'NoFree']",GL,2023-09-09 11:56:19,2023-09-09 14:05:34
quina,BRV Attack+,9607,0,0,0,['Magic'],GL,2023-09-09 11:56:19,2023-09-09 14:05:34
quina,BRV Attack++,19555,0,0,0,['Magic'],GL,2023-09-09 11:56:19,2023-09-09 14:05:34
quina,HP Attack+,9608,1,0,0,['Magic'],GL,2023-09-09 11:56:19,2023-09-09 14:05:34
quina,HP Attack++,19556,1,0,0,['Magic'],GL,2023-09-09 11:56:19,2023-09-09 14:05:34
quina,Eat,9606,4,1,20,['Magic'],GL,2023-09-09 11:56:19,2023-09-09 14:05:34
quina,Cook,19564,12,1,20,"['Magic', 'Free']",GL,2023-09-09 11:56:19,2023-09-09 14:05:34
quina,Frog Drop,9615,3,3,20,"['Group', 'Magic']",GL,2023-09-09 11:56:19,2023-09-09 14:05:34
quina,Frog Drop+,9616,6,6,20,"['Group', 'Magic']",GL,2023-09-09 11:56:19,2023-09-09 14:05:34
quina,Boost All,19574,0,0,0,"['Instant', 'NoSummon', 'NoEX']",GL,2023-09-09 11:56:19,2023-09-09 14:05:34
quina,Limit Glove,9622,7,7,10,"['Group', 'Magic']",GL,2023-09-09 11:56:19,2023-09-09 14:05:34
quina,Mustard Bomb,19559,3,3,15,"['Group', 'Magic', 'NoFree']",GL,2023-09-09 11:56:19,2023-09-09 14:05:34
quina,Heat,19560,5,0,10,"['Magic', 'IgnoreDEF', 'Instant', 'Traps', 'NoFree']",GL,2023-09-09 11:56:19,2023-09-09 14:05:34
quina,Ultimate Cook,19563,2,2,400,"['Group', 'Magic']",GL,2023-09-09 11:56:19,2023-09-09 14:05:34
quina,Way of Gourmand,19569,4,4,250,"['Group', 'Magic', 'NoFree']",GL,2023-09-09 11:56:19,2023-09-09 14:05:34
quina,Enchanced Eat (C),19576,4,1,0,"['Magic', 'Instant', 'NoEX', 'NoFree']",GL,2023-09-09 11:56:19,2023-09-09 14:05:34
quina,Enchanced Mustard Bomb (C),19578,3,3,0,"['Group', 'Magic', 'Instant', 'NoEX', 'NoFree']",GL,2023-09-09 11:56:19,2023-09-09 14:05:34
rubicante,BRV Attack+,19489,0,0,0,"['Magic', 'Fire']",GL,2023-09-09 11:56:19,2023-09-09 14:05:34
rubicante,BRV Attack++,19500,0,0,0,"['Magic', 'Fire']",GL,2023-09-09 11:56:19,2023-09-09 14:05:34
rubicante,HP Attack+,19490,1,0,0,"['Magic', 'Fire']",GL,2023-09-09 11:56:19,2023-09-09 14:05:34
rubicante,HP Attack++,19501,1,0,0,"['Magic', 'Fire']",GL,2023-09-09 11:56:19,2023-09-09 14:05:34
rubicante,Firaga,19487,4,4,20,"['Group', 'Magic', 'Fire']",GL,2023-09-09 11:56:19,2023-09-09 14:05:34
rubicante,Absorb Blizzara,19494,0,0,0,"['Heals', 'Instant']",GL,2023-09-09 11:56:19,2023-09-09 14:05:34
rubicante,Protect All,19519,0,0,0,"['Instant', 'NoSummon', 'NoEX']",GL,2023-09-09 11:56:19,2023-09-09 14:05:34
rubicante,Inferno,19499,5,5,10,"['Group', 'Magic', 'Fire']",GL,2023-09-09 11:56:19,2023-09-09 14:05:34
rubicante,Soulscald,19504,4,4,15,"['Group', 'Magic', 'Fire', 'NoFree']",GL,2023-09-09 11:56:19,2023-09-09 14:05:34
rubicante,Counter Fira,19505,2,2,10,"['Group', 'Magic', 'Fire', 'Counters']",GL,2023-09-09 11:56:19,2023-09-09 14:05:34
rubicante,Geryon Be Its Name,19508,2,2,400,"['Group', 'Magic', 'Fire']",GL,2023-09-09 11:56:19,2023-09-09 14:05:34
rubicante,Counter Firaga,19509,4,4,0,"['Group', 'Magic', 'Fire', 'Counters']",GL,2023-09-09 11:56:19,2023-09-09 14:05:34
rubicante,Warrior's Pride,19514,4,4,250,"['Group', 'Magic', 'Fire', 'NoFree']",GL,2023-09-09 11:56:19,2023-09-09 14:05:34
rubicante,Enchanced Firaga (C),19521,4,4,0,"['Group', 'Magic', 'Fire', 'Instant', 'NoEX', 'NoFree']",GL,2023-09-09 11:56:19,2023-09-09 14:05:34
rubicante,Enchanced Soulscald (C),19523,4,4,0,"['Group', 'Magic', 'Fire', 'Instant', 'NoEX', 'NoFree']",GL,2023-09-09 11:56:19,2023-09-09 14:05:34
neon,BRV Attack+,19287,0,0,0,['Magic'],GL,2023-09-09 11:56:19,2023-09-09 14:05:34
neon,BRV Attack++,19294,0,0,0,['Magic'],GL,2023-09-09 11:56:19,2023-09-09 14:05:34
neon,HP Attack+,19288,1,0,0,['Magic'],GL,2023-09-09 11:56:19,2023-09-09 14:05:34
neon,HP Attack++,19295,1,0,0,['Magic'],GL,2023-09-09 11:56:19,2023-09-09 14:05:34
neon,Asura,19282,6,0,20,"['Magic', 'Fire', 'Instant']",GL,2023-09-09 11:56:19,2023-09-09 14:05:34
neon,Inferno,19286,4,4,20,"['Group', 'Magic', 'Fire']",GL,2023-09-09 11:56:19,2023-09-09 14:05:34
neon,Fire Enchant All,19311,0,0,0,"['Instant', 'NoSummon', 'NoEX']",GL,2023-09-09 11:56:19,2023-09-09 14:05:34
neon,Sword of Fury,19293,5,5,10,"['Group', 'Magic', 'Fire', 'Instant']",GL,2023-09-09 11:56:19,2023-09-09 14:05:34
neon,Fiend of Fire,19298,6,1,15,"['Magic', 'Fire', 'NoFree']",GL,2023-09-09 11:56:19,2023-09-09 14:05:34
neon,Firebringer,19306,2,2,400,"['Group', 'Magic', 'Fire']",GL,2023-09-09 11:56:19,2023-09-09 14:05:34
neon,Double Runic,19303,4,4,250,"['Group', 'Magic', 'Fire', 'NoFree']",GL,2023-09-09 11:56:19,2023-09-09 14:05:34
neon,Enhanced Asura (C),19313,6,0,0,"['Magic', 'Fire', 'Instant', 'NoEX', 'NoFree']",GL,2023-09-09 11:56:19,2023-09-09 14:05:34
neon,Enhanced Fiend of Fire (C),19315,6,1,0,"['Magic', 'Fire', 'Instant', 'NoEX', 'NoFree']",GL,2023-09-09 11:56:19,2023-09-09 14:05:34
jessie,BRV Attack+,19141,0,0,0,['Ranged'],GL,2023-09-09 11:56:19,2023-09-09 14:05:34
jessie,BRV Attack++,19157,0,0,0,['Ranged'],GL,2023-09-09 11:56:19,2023-09-09 14:05:34
jessie,HP Attack+,19142,1,0,0,['Ranged'],GL,2023-09-09 11:56:19,2023-09-09 14:05:34
jessie,HP Attack++,19158,1,0,0,['Ranged'],GL,2023-09-09 11:56:19,2023-09-09 14:05:34
jessie,Spinning Back Kick,19140,4,1,20,['Ranged'],GL,2023-09-09 11:56:19,2023-09-09 14:05:34
jessie,Uprising,19146,4,4,20,"['Group', 'Ranged']",GL,2023-09-09 11:56:19,2023-09-09 14:05:34
jessie,Attack All,19170,0,0,0,"['Instant', 'NoSummon', 'NoEX']",GL,2023-09-09 11:56:19,2023-09-09 14:05:34
jessie,The Show Must Go On,19155,5,5,10,"['Group', 'Ranged', 'Instant']",GL,2023-09-09 11:56:19,2023-09-09 14:05:34
jessie,The Show Must Go On+,19156,5,5,10,"['Group', 'Ranged', 'Instant']",GL,2023-09-09 11:56:19,2023-09-09 14:05:34
jessie,Surefire Drop,19161,4,4,15,"['Group', 'Ranged', 'NoFree']",GL,2023-09-09 11:56:19,2023-09-09 14:05:34
jessie,"My Life, My Road",19165,3,3,250,"['Group', 'Ranged', 'NoFree']",GL,2023-09-09 11:56:19,2023-09-09 14:05:34
jessie,Enhanced Uprising (C),19172,4,4,0,"['Group', 'Ranged', 'Instant', 'NoEX', 'NoFree']",GL,2023-09-09 11:56:19,2023-09-09 14:05:34
jessie,Enhanced Surefire Drop (C),19174,4,4,0,"['Group', 'Ranged', 'Instant', 'NoEX', 'NoFree']",GL,2023-09-09 11:56:19,2023-09-09 14:05:34
fusoya,BRV Attack+,18979,0,0,0,['Magic'],GL,2023-09-09 11:56:19,2023-09-09 14:05:34
fusoya,BRV Attack++,18993,0,0,0,['Magic'],GL,2023-09-09 11:56:19,2023-09-09 14:05:34
fusoya,HP Attack+,18980,1,0,0,['Magic'],GL,2023-09-09 11:56:19,2023-09-09 14:05:34
fusoya,HP Attack++,18994,1,0,0,['Magic'],GL,2023-09-09 11:56:19,2023-09-09 14:05:34
fusoya,Spirit Blast,18978,4,4,20,"['Group', 'Magic']",GL,2023-09-09 11:56:19,2023-09-09 14:05:34
fusoya,Hold,18984,4,1,20,['Magic'],GL,2023-09-09 11:56:19,2023-09-09 14:05:34
fusoya,Base Boost Up,19003,0,0,0,"['Instant', 'NoSummon', 'NoEX']",GL,2023-09-09 11:56:19,2023-09-09 14:05:34
fusoya,Twin Meteor,18989,6,6,10,"['Group', 'Magic']",GL,2023-09-09 11:56:19,2023-09-09 14:05:34
fusoya,Lunar Quake,18992,4,4,15,"['Group', 'Magic', 'NoFree']",GL,2023-09-09 11:56:19,2023-09-09 14:05:34
fusoya,Omniblast,19007,3,3,250,"['Group', 'Magic', 'NoFree']",GL,2023-09-09 11:56:19,2023-09-09 14:05:34
fusoya,Enhanced Spirit Blast (C),18996,4,4,0,"['Group', 'Magic', 'Instant', 'NoEX', 'NoFree']",GL,2023-09-09 11:56:19,2023-09-09 14:05:34
fusoya,Enhanced Lunar Quake (C),18998,4,4,0,"['Group', 'Magic', 'Instant', 'NoEX', 'NoFree']",GL,2023-09-09 11:56:19,2023-09-09 14:05:34
jackgarland,BRV Attack+,18740,0,0,0,['Melee'],GL,2023-09-09 11:56:19,2023-09-09 14:05:34
jackgarland,BRV Attack++,18747,0,0,0,['Melee'],GL,2023-09-09 11:56:19,2023-09-09 14:05:34
jackgarland,HP Attack+,18741,1,0,0,['Melee'],GL,2023-09-09 11:56:19,2023-09-09 14:05:34
jackgarland,HP Attack++,18748,1,0,0,['Melee'],GL,2023-09-09 11:56:19,2023-09-09 14:05:34
jackgarland,Spinning Slash,18735,3,3,20,"['Group', 'Melee']",GL,2023-09-09 11:56:19,2023-09-09 14:05:34
jackgarland,Soul Burst (Uncapped HP Attack),,1,0,900,"['Melee', 'FollowUp']",GL,2023-09-09 11:56:19,2023-09-09 14:05:34
jackgarland,Soul Burst,18752,1,0,0,"['Melee', 'FollowUp']",GL,2023-09-09 11:56:19,2023-09-09 14:05:34
jackgarland,Highbringer,18739,3,1,20,['Melee'],GL,2023-09-09 11:56:19,2023-09-09 14:05:34
jackgarland,Attack Boost Up,18765,0,0,0,"['Instant', 'NoSummon', 'NoEX']",GL,2023-09-09 11:56:19,2023-09-09 14:05:34
jackgarland,Lightbringer,18746,5,5,10,"['Group', 'Melee']",GL,2023-09-09 11:56:19,2023-09-09 14:05:34
jackgarland,Zantetsuken,18751,3,3,15,"['Group', 'Melee', 'NoFree']",GL,2023-09-09 11:56:19,2023-09-09 14:05:34
jackgarland,Soul Burst+ (Uncapped HP Attack),,1,0,900,"['Melee', 'FollowUp']",GL,2023-09-09 11:56:19,2023-09-09 14:05:34
jackgarland,Soul Burst+,18753,2,0,0,"['Melee', 'FollowUp']",GL,2023-09-09 11:56:19,2023-09-09 14:05:34
jackgarland,Soul of Chaos,18756,2,2,400,"['Group', 'Melee']",GL,2023-09-09 11:56:19,2023-09-09 14:05:34
jackgarland,Thirst for Chaos,18760,3,3,250,"['Group', 'Melee', 'NoFree']",GL,2023-09-09 11:56:19,2023-09-09 14:05:34
jackgarland,Enhanced Highbringer (C),18767,3,1,0,"['Melee', 'Instant', 'NoEX', 'NoFree']",GL,2023-09-09 11:56:19,2023-09-09 14:05:34
jackgarland,Enhanced Zantetsuken (C),18769,3,3,0,"['Group', 'Melee', 'Instant', 'NoEX', 'NoFree']",GL,2023-09-09 11:56:19,2023-09-09 14:05:34
dorgann,BRV Attack+,18479,0,0,0,['Melee'],GL,2023-09-09 11:56:19,2023-09-09 14:05:34
dorgann,BRV Attack++,18492,0,0,0,['Melee'],GL,2023-09-09 11:56:19,2023-09-09 14:05:34
dorgann,HP Attack+,18480,1,0,0,['Melee'],GL,2023-09-09 11:56:19,2023-09-09 14:05:34
dorgann,HP Attack++,18493,1,0,0,['Melee'],GL,2023-09-09 11:56:19,2023-09-09 14:05:34
dorgann,Spellblade Break,18473,3,3,20,"['Group', 'Melee', 'Wind']",GL,2023-09-09 11:56:19,2023-09-09 14:05:34
dorgann,Starlit Abandon,18477,4,1,20,"['Melee', 'Wind']",GL,2023-09-09 11:56:19,2023-09-09 14:05:34
dorgann,Image Slash,18478,1,1,0,"['Group', 'Melee', 'Wind', 'FollowUp']",GL,2023-09-09 11:56:19,2023-09-09 14:05:34
dorgann,Weak Damage Up,18502,0,0,0,"['Instant', 'NoSummon', 'NoEX']",GL,2023-09-09 11:56:19,2023-09-09 14:05:34
dorgann,Final Skill – Felling Timber,18485,4,4,10,"['Group', 'Melee']",GL,2023-09-09 11:56:19,2023-09-09 14:05:34
dorgann,Linear Transmission – Third-Eye Strike,18490,5,5,15,"['Group', 'Melee', 'NoFree']",GL,2023-09-09 11:56:19,2023-09-09 14:05:34
dorgann,Image Slash+,18491,3,3,10,"['Group', 'Melee', 'Wind', 'FollowUp']",GL,2023-09-09 11:56:19,2023-09-09 14:05:34
dorgann,Dawnlight Swordplay,20095,2,2,400,"['Group', 'Melee']",GL,2023-09-09 11:56:19,2023-09-09 14:05:34
dorgann,Steel Weaving the Future,20092,4,4,250,"['Group', 'Melee', 'NoFree']",GL,2023-09-09 11:56:19,2023-09-09 14:05:34
dorgann,Enhanced Spellblade Break (C),18495,3,3,0,"['Group', 'Melee', 'Wind', 'Instant', 'NoEX', 'NoFree']",GL,2023-09-09 11:56:19,2023-09-09 14:05:34
dorgann,Enhanced Linear Transmission – Third-Eye Strike (C),18497,5,5,0,"['Group', 'Melee', 'Instant', 'NoEX', 'NoFree']",GL,2023-09-09 11:56:19,2023-09-09 14:05:34
minwu,BRV Attack+,18302,0,0,0,['Magic'],GL,2023-09-09 11:56:19,2023-09-09 14:05:34
minwu,BRV Attack++,18320,0,0,0,['Magic'],GL,2023-09-09 11:56:19,2023-09-09 14:05:34
minwu,HP Attack+,18303,1,0,0,['Magic'],GL,2023-09-09 11:56:19,2023-09-09 14:05:34
minwu,HP Attack++,18321,1,1,0,['Magic'],GL,2023-09-09 11:56:19,2023-09-09 14:05:34
minwu,Teleport XVI,18300,3,0,20,"['Group', 'Magic']",GL,2023-09-09 11:56:19,2023-09-09 14:05:34
minwu,Teleport XVI+,18301,3,1,20,"['Group', 'Magic']",GL,2023-09-09 11:56:19,2023-09-09 14:05:34
minwu,Holy XVI,18307,3,3,20,"['Group', 'Magic', 'Holy', 'Heals']",GL,2023-09-09 11:56:19,2023-09-09 14:05:34
minwu,Trap: Holy XVI,18309,1,1,20,"['Group', 'Magic', 'Holy', 'Heals', 'Instant', 'Traps']",GL,2023-09-09 11:56:19,2023-09-09 14:05:34
minwu,HP Heal Attack All,18333,0,0,0,"['Heals', 'Instant', 'NoSummon', 'NoEX']",GL,2023-09-09 11:56:19,2023-09-09 14:05:34
minwu,Soul Convergence,18314,4,4,10,"['Group', 'Magic']",GL,2023-09-09 11:56:19,2023-09-09 14:05:34
minwu,Soul of Rebirth,18317,5,5,15,"['Group', 'Magic', 'NoFree']",GL,2023-09-09 11:56:19,2023-09-09 14:05:34
minwu,Additional attack from Sublime Soul,18319,3,3,10,"['Group', 'Magic', 'FollowUp']",GL,2023-09-09 11:56:19,2023-09-09 14:05:34
minwu,Mightiest of Spells,18324,2,2,400,"['Group', 'Magic']",GL,2023-09-09 11:56:19,2023-09-09 14:05:34
minwu,Life Connect,18328,0,0,0,"['Heals', 'Instant', 'NoFree']",GL,2023-09-09 11:56:19,2023-09-09 14:05:34
minwu,Enhanced Teleport XVI (C),18335,3,1,0,"['Group', 'Magic', 'Instant', 'NoEX', 'NoFree']",GL,2023-09-09 11:56:19,2023-09-09 14:05:34
minwu,Enhanced Soul of Rebirth (C),18337,5,5,0,"['Group', 'Magic', 'Instant', 'NoEX', 'NoFree']",GL,2023-09-09 11:56:19,2023-09-09 14:05:34
lunafreya,BRV Attack+,17607,0,0,0,['Magic'],GL,2023-09-09 11:56:19,2023-09-09 14:05:34
lunafreya,BRV Attack++,17617,0,0,0,['Magic'],GL,2023-09-09 11:56:19,2023-09-09 14:05:34
lunafreya,Quick Prayer,17700,0,0,0,['Instant'],GL,2023-09-09 11:56:19,2023-09-09 14:05:34
