char_name,ability_name,main_target_hp_attacks,non_target_hp_attacks,hp_dmg_cap_up_perc,attribute_list,intended_main,intended_non,intended_cap
quina,Enchanced Eat (C),4,1,0,"['Magic', 'Instant', 'NoEX', 'NoFree']",,,
quina,Enchanced Mustard Bomb (C),3,3,0,"['Group', 'Magic', 'Instant', 'NoEX', 'NoFree']",,,
rubicante,BRV Attack+,0,0,0,"['Magic', 'Fire']",,,
rubicante,BRV Attack++,0,0,0,"['Magic', 'Fire']",,,
rubicante,HP Attack+,1,0,0,"['Magic', 'Fire']",,,
rubicante,HP Attack++,1,0,0,"['Magic', 'Fire']",,,
rubicante,Firaga,4,4,20,"['Group', 'Magic', 'Fire']",,,
rubicante,Absorb Blizzara,0,0,0,"['Heals', 'Instant']",,,
rubicante,Protect All,0,0,0,"['Instant', 'NoSummon', 'NoEX']",,,
rubicante,Inferno,5,5,10,"['Group', 'Magic', 'Fire']",,,
rubicante,Soulscald,4,4,15,"['Group', 'Magic', 'Fire', 'NoFree']",,,
rubicante,Counter Fira,2,2,10,"['Group', 'Magic', 'Fire', 'Counters']",,,
rubicante,Geryon Be Its Name,2,2,400,"['Group', 'Magic', 'Fire']",,,
rubicante,Counter Firaga,4,4,0,"['Group', 'Magic', 'Fire', 'Counters']",,,
rubicante,Warrior's Pride,4,4,260,"['Group', 'Magic', 'Fire', 'NoFree']",,,
rubicante,Enchanced Firaga (C),4,4,0,"['Group', 'Magic', 'Fire', 'Instant', 'NoEX', 'NoFree']",,,
rubicante,Enchanced Soulscald (C),4,4,0,"['Group', 'Magic', 'Fire', 'Instant', 'NoEX', 'NoFree']",,,
neon,BRV Attack+,0,0,0,['Magic'],,,
neon,BRV Attack++,0,0,0,['Magic'],,,
neon,HP Attack+,1,0,0,['Magic'],,,
neon,HP Attack++,1,0,0,['Magic'],,,
neon,Asura,6,0,20,"['Magic', 'Fire', 'Instant']",,,
neon,Inferno,4,4,20,"['Group', 'Magic', 'Fire']",,,
neon,Fire Enchant All,0,0,0,"['Instant', 'NoSummon', 'NoEX']",,,
neon,Sword of Fury,5,5,10,"['Group', 'Magic', 'Fire', 'Instant']",,,
neon,Fiend of Fire,6,1,15,"['Magic', 'Fire', 'NoFree']",,,
neon,Firebringer,2,2,400,"['Group', 'Magic', 'Fire']",,,
neon,Double Runic,4,4,260,"['Group', 'Magic', 'Fire', 'NoFree']",,,
neon,Enhanced Asura (C),6,0,0,"['Magic', 'Fire', 'Instant', 'NoEX', 'NoFree']",,,
neon,Enhanced Fiend of Fire (C),6,1,0,"['Magic', 'Fire', 'Instant', 'NoEX', 'NoFree']",,,
jessie,BRV Attack+,0,0,0,['Ranged'],,,
jessie,BRV Attack++,0,0,0,['Ranged'],,,
jessie,HP Attack+,1,0,0,['Ranged'],,,
jessie,HP Attack++,1,0,0,['Ranged'],,,
jessie,Spinning Back Kick,4,1,20,['Ranged'],,,
jessie,Uprising,4,4,20,"['Group', 'Ranged']",,,
jessie,Attack All,0,0,0,"['Instant', 'NoSummon', 'NoEX']",,,
jessie,The Show Must Go On,5,5,10,"['Group', 'Ranged', 'Instant']",,,
jessie,The Show Must Go On+,5,5,10,"['Group', 'Ranged', 'Instant']",,,
jessie,Surefire Drop,4,4,15,"['Group', 'Ranged', 'NoFree']",,,
jessie,"My Life, My Road",3,3,250,"['Group', 'Ranged', 'NoFree']",,,
jessie,Enhanced Uprising (C),4,4,0,"['Group', 'Ranged', 'Instant', 'NoEX', 'NoFree']",,,
jessie,Enhanced Surefire Drop (C),4,4,0,"['Group', 'Ranged', 'Instant', 'NoEX', 'NoFree']",,,
fusoya,BRV Attack+,0,0,0,['Magic'],,,
fusoya,BRV Attack++,0,0,0,['Magic'],,,
fusoya,HP Attack+,1,0,0,['Magic'],,,
fusoya,HP Attack++,1,0,0,['Magic'],,,
fusoya,Spirit Blast,4,4,20,"['Group', 'Magic']",,,
fusoya,Hold,4,1,20,['Magic'],,,
fusoya,Base Boost Up,0,0,0,"['Instant', 'NoSummon', 'NoEX']",,,
fusoya,Twin Meteor,6,6,10,"['Group', 'Magic']",,,
fusoya,Lunar Quake,4,4,15,"['Group', 'Magic', 'NoFree']",,,
fusoya,Omniblast,3,3,250,"['Group', 'Magic', 'NoFree']",,,
fusoya,Enhanced Spirit Blast (C),4,4,0,"['Group', 'Magic', 'Instant', 'NoEX', 'NoFree']",,,
fusoya,Enhanced Lunar Quake (C),4,4,0,"['Group', 'Magic', 'Instant', 'NoEX', 'NoFree']",,,
jackgarland,BRV Attack+,0,0,0,['Melee'],,,
jackgarland,BRV Attack++,0,0,0,['Melee'],,,
jackgarland,HP Attack+,1,0,0,['Melee'],,,
jackgarland,HP Attack++,1,0,0,['Melee'],,,
jackgarland,Spinning Slash,3,3,20,"['Group', 'Melee']",,,
jackgarland,Soul Burst (Uncapped HP Attack),1,0,900,"['Melee', 'FollowUp']",,,
jackgarland,Soul Burst,1,0,0,"['Melee', 'FollowUp']",,,
jackgarland,Highbringer,3,1,20,['Melee'],,,
jackgarland,Attack Boost Up,0,0,0,"['Instant', 'NoSummon', 'NoEX']",,,
jackgarland,Lightbringer,5,5,10,"['Group', 'Melee']",,,
jackgarland,Zantetsuken,3,3,15,"['Group', 'Melee', 'NoFree']",,,
jackgarland,Soul Burst+ (Uncapped HP Attack),1,0,900,"['Melee', 'FollowUp']",,,
jackgarland,Soul Burst+,2,0,0,"['Melee', 'FollowUp']",,,
jackgarland,Soul of Chaos,2,2,400,"['Group', 'Melee']",,,
jackgarland,Thirst for Chaos,3,3,250,"['Group', 'Melee', 'NoFree']",,,
jackgarland,Enhanced Highbringer (C),3,1,0,"['Melee', 'Instant', 'NoEX', 'NoFree']",,,
jackgarland,Enhanced Zantetsuken (C),3,3,0,"['Group', 'Melee', 'Instant', 'NoEX', 'NoFree']",,,
dorgann,BRV Attack+,0,0,0,['Melee'],,,
dorgann,BRV Attack++,0,0,0,['Melee'],,,
dorgann,HP Attack+,1,0,0,['Melee'],,,
dorgann,HP Attack++,1,0,0,['Melee'],,,
dorgann,Spellblade Break,3,3,20,"['Group', 'Melee', 'Wind']",,,
dorgann,Starlit Abandon,4,1,20,"['Melee', 'Wind']",,,
dorgann,Image Slash,1,1,0,"['Group', 'Melee', 'Wind', 'FollowUp']",,,
dorgann,Weak Damage Up,0,0,0,"['Instant', 'NoSummon', 'NoEX']",,,
dorgann,Final Skill – Felling Timber,4,4,10,"['Group', 'Melee']",,,
dorgann,Linear Transmission – Third-Eye Strike,5,5,15,"['Group', 'Melee', 'NoFree']",,,
dorgann,Image Slash+,3,3,10,"['Group', 'Melee', 'Wind', 'FollowUp']",,,
dorgann,Dawnlight Swordplay,2,2,400,"['Group', 'Melee']",,,
dorgann,Steel Weaving the Future,4,4,260,"['Group', 'Melee', 'NoFree']",,,
dorgann,Enhanced Spellblade Break (C),3,3,0,"['Group', 'Melee', 'Wind', 'Instant', 'NoEX', 'NoFree']",,,
dorgann,Enhanced Linear Transmission – Third-Eye Strike �,5,5,0,"['Group', 'Melee', 'Instant', 'NoEX', 'NoFree']",,,
minwu,BRV Attack+,0,0,0,['Magic'],,,
minwu,BRV Attack++,0,0,0,['Magic'],,,
minwu,HP Attack+,1,0,0,['Magic'],,,
minwu,HP Attack++,1,1,0,['Magic'],,,
minwu,Teleport XVI,3,0,20,"['Group', 'Magic']",,,
minwu,Teleport XVI+,3,1,20,"['Group', 'Magic']",,,
minwu,Holy XVI,3,3,20,"['Group', 'Magic', 'Holy', 'Heals']",,,
minwu,Trap: Holy XVI,1,1,20,"['Group', 'Magic', 'Holy', 'Heals', 'Instant', 'Traps']",,,
minwu,HP Heal Attack All,0,0,0,"['Heals', 'Instant', 'NoSummon', 'NoEX']",,,
minwu,Soul Convergence,4,4,10,"['Group', 'Magic']",,,
minwu,Soul of Rebirth,5,5,15,"['Group', 'Magic', 'NoFree']",,,
minwu,Additional attack from Sublime Soul,3,3,10,"['Group', 'Magic', 'FollowUp']",,,
minwu,Mightiest of Spells,2,2,400,"['Group', 'Magic']",,,
minwu,Life Connect,0,0,0,"['Heals', 'Instant', 'NoFree']",,,
minwu,Enhanced Teleport XVI (C),3,1,0,"['Group', 'Magic', 'Instant', 'NoEX', 'NoFree']",,,
minwu,Enhanced Soul of Rebirth (C),5,5,0,"['Group', 'Magic', 'Instant', 'NoEX', 'NoFree']",,,
lunafreya,BRV Attack+,0,0,0,['Magic'],,,
lunafreya,BRV Attack++,0,0,0,['Magic'],,,
lunafreya,Quick Prayer,0,0,0,['Instant'],,,
lunafreya,HP Attack+,1,0,0,['Magic'],,,
lunafreya,HP Attack++,1,0,0,['Magic'],,,
lunafreya,Heavy Prayer,0,0,0,['Instant'],,,
lunafreya,Energy Heal,0,0,0,"['Heals', 'Instant']",,,
lunafreya,Frigid Fubuki,4,1,20,"['Group', 'Magic', 'Ice']",,,
lunafreya,Weak Damage Up All,0,0,0,"['Instant', 'NoSummon', 'NoEX']",,,
lunafreya,Diamond Dust,4,4,10,"['Group', 'Magic', 'Ice']",,,
lunafreya,Awakening,0,0,15,"['Instant', 'NoFree']",,,
lunafreya,Awakening Follow Up,3,3,15,"['Group', 'Magic', 'Instant', 'FollowUp']",,,
lunafreya,Coronal Spark of Life,5,5,100,"['Group', 'Magic']",,,
lunafreya,Furious Spray,3,3,250,"['Group', 'Magic', 'NoFree']",,,
lunafreya,Enhanced Energy Heal (C),0,0,0,"['Heals', 'Instant', 'NoEX', 'NoFree']",,,
lunafreya,Enhanced Awakening (C),0,0,0,"['Instant', 'NoEX', 'NoFree']",,,
braska,BRV Attack+,0,0,0,['Magic'],,,
braska,BRV Attack++,0,0,0,['Magic'],,,
braska,HP Attack+,1,0,0,['Magic'],,,
braska,HP Attack++,1,0,0,['Magic'],,,
braska,Curaga,0,0,0,"['Heals', 'Instant']",,,
braska,Ultima,4,4,20,"['Group', 'Magic']",,,
braska,Attack All,0,0,0,"['Instant', 'NoSummon', 'NoEX']",,,
braska,Ultimate Jecht Shot,5,5,5,"['Group', 'Magic', 'Fire']",,,
braska,Ultimate Jecht Shot+,8,8,5,"['Group', 'Magic', 'Fire']",,,
braska,Jecht Bomber,4,4,10,"['Magic', 'Fire', 'NoFree']",,,
braska,Jecht Bomber+,6,6,10,"['Magic', 'Fire', 'NoFree']",,,
braska,Final Jecht Shot,2,2,350,"['Group', 'Magic']",,,
braska,Jecht Beam,3,3,0,"['Group', 'Magic', 'Fire', 'FollowUp']",,,
braska,Mixture Power,4,4,260,"['Group', 'Magic', 'Fire', 'Heals', 'NoFree']",,,
braska,Enhanced Curaga (C),0,0,0,"['Heals', 'Instant', 'NoEX', 'NoFree']",,,
braska,Enhanced Jecht Bomber (C),4,4,0,"['Magic', 'Fire', 'Instant', 'NoEX', 'NoFree']",,,
sice,BRV Attack+,0,0,0,['Melee'],,,
sice,BRV Attack++,0,0,0,['Melee'],,,
sice,HP Attack+,1,0,0,['Melee'],,,
sice,HP Attack++,1,0,0,['Melee'],,,
sice,Phantom Scythe,3,3,20,"['Group', 'Melee', 'Dark']",,,
sice,Dark Nebula,2,0,20,"['Melee', 'Dark']",,,
sice,Dark Nebula+,3,0,20,"['Melee', 'Dark']",,,
sice,Dark Nebula++,4,0,20,"['Melee', 'Dark']",,,
sice,Set Malice Slash,1,0,0,"['Melee', 'Instant', 'NoSummon', 'NoEX']",,,
sice,Negative Aura,3,3,10,"['Group', 'Melee', 'Dark', 'Heals']",,,
sice,Negative Aura+,4,4,10,"['Group', 'Melee', 'Dark', 'Heals']",,,
sice,Negative Aura++,5,5,10,"['Group', 'Melee', 'Dark', 'Heals']",,,
sice,Death Maelstrom,2,2,15,"['Group', 'Melee', 'Dark', 'NoFree']",,,
sice,Death Maelstrom+,3,3,15,"['Group', 'Melee', 'Dark', 'NoFree']",,,
sice,Death Maelstrom++,4,4,15,"['Group', 'Melee', 'Dark', 'NoFree']",,,
sice,Additional attack from Tenacious Vortex,1,1,10,"['Melee', 'Dark', 'Instant', 'Traps']",,,
sice,Dual Darkness Aura,3,3,250,"['Group', 'Melee', 'Dark', 'NoFree']",,,
sice,Enhanced Dark Nebula (C),2,0,0,"['Melee', 'Dark', 'Instant', 'NoEX', 'NoFree']",,,
sice,Enhanced Death Maelstrom (C),2,2,0,"['Group', 'Melee', 'Dark', 'Instant', 'NoEX', 'NoFree']",,,
cissnei,BRV Attack+,0,0,0,['Ranged'],,,
cissnei,BRV Attack++,0,0,0,['Ranged'],,,
cissnei,HP Attack+,1,0,0,['Ranged'],,,
cissnei,HP Attack++,1,0,0,['Ranged'],,,
cissnei,Bladeglint,2,0,20,['Ranged'],,,
cissnei,Threatening Ember,2,1,20,['Ranged'],,,
cissnei,Set Wild Rekka Attack All,0,0,0,"['Instant', 'NoSummon', 'NoEX']",,,
cissnei,Fortune Star,4,4,10,"['Group', 'Ranged']",,,
cissnei,Shooting Star,3,3,15,"['Group', 'Ranged', 'NoFree']",,,
cissnei,Besiege,1,1,10,"['Group', 'Ranged', 'FollowUp']",,,
cissnei,Besiege+,2,2,10,"['Group', 'Ranged', 'FollowUp']",,,
cissnei,Besiege++,3,3,10,"['Group', 'Ranged', 'FollowUp']",,,
cissnei,Enhanced Bladeglint (C),2,0,0,"['Ranged', 'Instant', 'NoEX', 'NoFree']",,,
cissnei,Enhanced Shooting Star (C),3,3,0,"['Group', 'Ranged', 'Instant', 'NoEX', 'NoFree']",,,
ennakros,BRV Attack+,0,0,0,['Magic'],,,
ennakros,BRV Attack++,0,0,0,['Magic'],,,
ennakros,HP Attack+,1,0,0,['Magic'],,,
ennakros,HP Attack++,1,0,0,['Magic'],,,
ennakros,Kinda Sorta Holy,3,3,20,"['Group', 'Magic', 'Holy']",,,
ennakros,Bold Maneuver,3,3,10,"['Group', 'Melee']",,,
ennakros,Base Boost Up,0,0,0,['Instant'],,,
ennakros,Atomic Impact,4,4,5,"['Group', 'Melee', 'Dark']",,,
ennakros,Astral Annihilation,8,0,7,"['Melee', 'NoFree']",,,
ennakros,Pretty-Close Solution,3,3,250,"['Group', 'Melee', 'NoFree']",,,
ennakros,Enhanced Kinda Sorta Holy (C),3,3,0,"['Group', 'Magic', 'Holy', 'Instant', 'NoEX', 'NoFree']",,,
ennakros,Enhanced Astral Annihilation (C),6,0,0,"['Melee', 'Instant', 'NoEX', 'NoFree']",,,
leila,BRV Attack+,0,0,0,['Magic'],,,
leila,BRV Attack++,0,0,0,['Magic'],,,
leila,HP Attack+,1,0,0,['Magic'],,,
leila,HP Attack++,1,0,0,['Magic'],,,
leila,Thunder XVI,3,3,20,"['Group', 'Magic', 'Thunder']",,,
leila,Provocator's Edge,2,2,20,"['Group', 'Magic', 'Thunder']",,,
leila,Protect All,0,0,0,"['Instant', 'NoSummon', 'NoEX']",,,
leila,Lightning Turn,3,1,10,"['Magic', 'Thunder']",,,
leila,Detonator,4,4,15,"['Group', 'Magic', 'Thunder', 'NoFree']",,,
leila,Counterattack Order,0,0,0,"['Heals', 'Instant', 'Counters']",,,
leila,Enhanced Thunder XVI (C),3,3,0,"['Group', 'Magic', 'Thunder', 'Instant', 'NoEX', 'NoFree']",,,
leila,Enhanced Detonator (C),4,4,0,"['Group', 'Magic', 'Thunder', 'Instant', 'NoEX', 'NoFree']",,,
llyud,BRV Attack+,0,0,0,['Ranged'],,,
llyud,BRV Attack++,0,0,0,['Ranged'],,,
llyud,HP Attack+,1,0,0,['Ranged'],,,
llyud,HP Attack++,1,0,0,['Ranged'],,,
llyud,Aura Spear,3,1,20,['Ranged'],,,
llyud,Crimson Wings,3,3,20,"['Group', 'Ranged', 'Heals']",,,
llyud,HP Heal Attack All,0,0,0,"['Heals', 'Instant', 'NoSummon', 'NoEX']",,,
llyud,Fanfare,4,4,10,"['Group', 'Ranged', 'Heals']",,,
llyud,Enfuse Spirit,4,4,15,"['Group', 'Ranged', 'Heals', 'NoFree']",,,
llyud,Technical Spear,3,3,250,"['Group', 'Ranged', 'Heals', 'NoFree']",,,
llyud,Enhanced Crimson Wings (C),1,1,0,"['Group', 'Ranged', 'Heals', 'Instant', 'NoEX', 'NoFree']",,,
llyud,Enhanced Enfuse Spirit (C),4,4,0,"['Group', 'Ranged', 'Heals', 'Instant', 'NoEX', 'NoFree']",,,
ursula,BRV Attack+,0,0,0,['Melee'],,,
ursula,BRV Attack++,0,0,0,['Melee'],,,
ursula,HP Attack+,1,0,0,['Melee'],,,
ursula,HP Attack++,1,0,0,['Melee'],,,
ursula,Tenshōha,3,3,10,"['Group', 'Melee']",4,4,
ursula,Tenketsu,6,1,20,"['Group', 'Melee']",,,
ursula,Chakra,6,0,20,"['Melee', 'Instant']",,,
ursula,Set Tenketsu Boost All,0,0,0,"['Instant', 'NoSummon', 'NoEX']",,,
ursula,Five Star Crimson Palm,5,5,10,"['Group', 'Melee', 'IgnoreDEF', 'Instant']",,,
ursula,Scarlet Legs of Fury,5,5,15,"['Group', 'Melee', 'IgnoreDEF', 'NoFree']",,,
ursula,Petal Whirlwind,2,2,400,"['Group', 'Melee']",,,
ursula,Dual Turning Palm Strike,4,4,260,"['Group', 'Melee', 'Instant', 'NoFree']",,,
ursula,Enhanced Chakra (C),1,0,0,"['Instant', 'NoEX', 'NoFree']",,,
ursula,Enhanced Scarlet Legs of Fury (C),3,3,0,"['Group', 'Melee', 'IgnoreDEF', 'Instant', 'NoEX', 'NoFree']",,,
jegran,BRV Attack+,0,0,0,['Melee'],,,
jegran,BRV Attack++,0,0,0,['Melee'],,,
jegran,HP Attack+,1,0,0,['Melee'],,,
jegran,HP Attack++,1,0,0,['Melee'],,,
jegran,Vacuum Slash,3,0,20,['Melee'],,,
jegran,Blade Boomerang,2,2,20,"['Group', 'Melee']",,,
jegran,Set Crystallization Slash,1,0,0,"['Melee', 'Instant', 'NoSummon', 'NoEX']",,,
jegran,Crystallized End,3,3,10,"['Group', 'Melee']",,,
jegran,Punish,7,1,7,"['Melee', 'IgnoreDEF', 'NoFree']",,,
jegran,Crimson Crystal Release,2,2,400,"['Group', 'Melee']",,,
jegran,Crystal Fist,3,3,10,"['Group', 'Melee', 'Instant', 'Traps']",,,
jegran,Enhanced Blade Boomerang (C),1,1,0,"['Group', 'Melee', 'Instant', 'NoEX', 'NoFree']",,,
jegran,Enhanced Punish (C),3,1,0,"['Melee', 'IgnoreDEF', 'Instant', 'NoEX', 'NoFree']",,,
shelke,BRV Attack+,0,0,0,['Melee'],,,
shelke,BRV Attack++,0,0,0,['Melee'],,,
shelke,HP Attack+,1,0,0,['Melee'],,,
shelke,HP Attack++,1,0,0,['Melee'],,,
shelke,Optic Spindle,2,1,20,['Melee'],,,
shelke,Optic Spindle+,2,1,20,['Melee'],,,
shelke,Delta Arts,2,2,20,"['Group', 'Melee']",,,
shelke,Delta Arts+,2,2,20,"['Group', 'Melee']",,,
shelke,Buff Longer Thrust,1,0,0,"['Melee', 'Instant', 'NoSummon', 'NoEX']",,,
shelke,Transparent,6,0,10,['Melee'],,,
shelke,Countertek,0,0,0,['NoFree'],,,
shelke,Enhanced Delta Arts (C),1,1,0,"['Group', 'Melee', 'Instant', 'NoEX', 'NoFree']",,,
shelke,Enhanced Countertek (C),0,0,0,"['Heals', 'Instant', 'NoEX', 'NoFree']",,,
cidraines,BRV Attack+,0,0,0,['Magic'],,,
cidraines,BRV Attack++,0,0,0,['Magic'],,,
cidraines,HP Attack+,1,1,0,['Magic'],,,
cidraines,HP Attack++,1,1,0,['Magic'],,,
cidraines,HP Attack (Heavenly Fist),1,1,0,"['Magic', 'Instant']",,,
cidraines,Ruinga Storm,2,2,20,"['Group', 'Magic']",,,
cidraines,Impact Strike,2,0,0,"['Magic', 'IgnoreDEF', 'FollowUp']",,,
cidraines,Cavalry Rush,2,0,20,"['Magic', 'KnockBack']",,,
cidraines,Boost All,0,0,0,"['Instant', 'NoSummon', 'NoEX']",,,
cidraines,Seraphic Ray,4,1,10,"['Group', 'Magic', 'KnockBack']",,,
cidraines,Heavenly Fist,5,0,15,"['Group', 'Magic', 'KnockBack', 'NoFree']",,,
cidraines,Impact Strike+,3,0,0,"['Magic', 'IgnoreDEF', 'FollowUp']",,,
cidraines,Opposing Destiny,2,2,400,"['Group', 'Magic']",,,
cidraines,Seraphic Charge,7,0,0,"['Magic', 'IgnoreDEF', 'FollowUp']",,,
cidraines,Raging Rebellion,4,4,260,"['Group', 'Magic', 'KnockBack', 'NoFree']",,,
cidraines,Call: Cavalry Rush (C),0,0,0,"['Instant', 'FollowUp', 'NoEX', 'NoFree']",,,
cidraines,Enhanced Cavalry Rush (C),1,0,0,"['Magic', 'Instant', 'KnockBack', 'FollowUp', 'NoEX', 'NoFree']",,,
queen,BRV Attack+,0,0,0,['Melee'],,,
queen,BRV Attack++,0,0,0,['Melee'],,,
queen,Balestra Lunge,1,0,10,"['Melee', 'Instant']",,,
queen,HP Attack+,1,0,0,['Melee'],,,
queen,HP Attack++,1,0,0,['Melee'],,,
queen,Devastate,4,1,10,['Melee'],,,
queen,Speedrush Thrust,1,0,20,['Melee'],,,
queen,Mana Sphere,1,1,20,"['Group', 'Melee']",,,
queen,HP Heal Boost All,0,0,0,"['Heals', 'Instant', 'NoSummon', 'NoEX']",,,
queen,Rasetsu Arousal,4,0,10,"['Group', 'Melee']",,,
queen,Rasetsu Arousal Release HP Heal,0,0,0,"['Heals', 'Instant', 'FollowUp']",,,
queen,Divine Judgment,2,2,15,"['Group', 'Melee', 'Heals', 'NoFree']",,,
queen,Enhanced Mana Sphere (C),1,1,0,"['Group', 'Melee', 'Instant', 'NoEX', 'NoFree']",,,
queen,Enhanced Divine Judgment (C),1,1,0,"['Group', 'Melee', 'Heals', 'Instant', 'NoEX', 'NoFree']",,,
cor,BRV Attack+,0,0,0,"['Group', 'Melee']",,,
cor,BRV Attack++,0,0,0,"['Group', 'Melee']",,,
cor,HP Attack+,1,0,0,['Melee'],,,
cor,HP Attack++,1,0,0,['Melee'],,,
cor,Reaper's Gale,5,5,10,"['Group', 'Melee', 'Instant']",,,
cor,Moonlit Dawn,0,0,20,['Instant'],,,
cor,Moonlit Dawn Follow Up,2,1,20,"['Melee', 'Instant', 'FollowUp']",,,
cor,Snowbreak,0,0,20,['Instant'],,,
cor,Snowbreak Follow Up,2,2,20,"['Group', 'Melee', 'Instant', 'FollowUp']",,,
cor,Attack Boost All,0,0,0,"['Instant', 'NoSummon', 'NoEX']",,,
cor,Lion's Roar,5,5,10,"['Group', 'Melee']",,,
cor,Reflorescere,6,3,15,"['Group', 'Melee', 'Instant', 'NoFree']",,,
cor,Additional attack from buff,2,2,0,"['Group', 'Melee', 'Instant', 'FollowUp']",,,
cor,Koujishi Dance,2,2,400,"['Group', 'Melee']",,,
cor,Welcome Coincidence,4,4,260,"['Group', 'Melee', 'NoFree']",,,
cor,Enhanced Moonlit Dawn (C),2,1,0,"['Melee', 'Instant', 'NoEX', 'NoFree']",,,
cor,Enhanced Reflorescere (C),2,1,0,"['Group', 'Melee', 'Instant', 'NoEX', 'NoFree']",,,
iroha,BRV Attack+,0,0,0,['Magic'],,,
iroha,BRV Attack++,0,0,0,['Magic'],,,
iroha,HP Attack+,1,0,0,['Magic'],,,
iroha,HP Attack++,1,0,0,['Magic'],,,
iroha,Amatsu: Choun,5,1,20,"['Magic', 'Heals']",,,
iroha,Amatsu: Fuga,2,2,20,"['Group', 'Magic']",,,
iroha,Amatsu: Fuga: Fusion,4,4,20,"['Group', 'Magic']",,,
iroha,Recast Half Attack Up,0,0,0,"['Instant', 'NoSummon', 'NoEX']",,,
iroha,Amatsu: Kyōkasuigetsu,5,5,10,"['Magic', 'Heals', 'Instant']",,,
iroha,Amatsu: Kyōkasuigetsu+,5,5,10,"['Magic', 'Heals']",,,
